Date = 2017-04-01 ; user = Sony ; Software = D3DX10
Date = 2017-04-01 ; user = Sony ; Software = Definition Update for Microsoft Office 2013 (KB3115404) 32-Bit Edition
Date = 2017-04-01 ; user = Sony ; Software = Dev-C++
Date = 2017-04-01 ; user = Sony ; Software = Dotfuscator and Analytics Community Edition
Date = 2017-04-01 ; user = Sony ; Software = Entity Framework 6.1.1 Tools  for Visual Studio 2013
Date = 2017-04-01 ; user = Sony ; Software = Git version 2.11.1
Date = 2017-04-01 ; user = Sony ; Software = Google Chrome
Date = 2017-04-01 ; user = Sony ; Software = Google Update Helper
Date = 2017-04-01 ; user = Sony ; Software = Graphviz
Date = 2017-04-01 ; user = Sony ; Software = Gtk# for .Net 2.12.42
Date = 2017-04-01 ; user = Sony ; Software = IIS 8.0 Express
Date = 2017-04-01 ; user = Sony ; Software = IIS Express Application Compatibility Database for x64
Date = 2017-04-01 ; user = Sony ; Software = IIS Express Application Compatibility Database for x86
Date = 2017-04-01 ; user = Sony ; Software = Intel(R) Control Center
Date = 2017-04-01 ; user = Sony ; Software = Intel(R) Management Engine Components
Date = 2017-04-01 ; user = Sony ; Software = Intel(R) Rapid Storage Technology
Date = 2017-04-01 ; user = Sony ; Software = JMFS SMART
Date = 2017-04-01 ; user = Sony ; Software = Java 8 Update 121 (64-bit)
Date = 2017-04-01 ; user = Sony ; Software = Java Auto Updater
Date = 2017-04-01 ; user = Sony ; Software = Java SE Development Kit 8 Update 121 (64-bit)
Date = 2017-04-01 ; user = Sony ; Software = JetBrains ETW Host Service
Date = 2017-04-01 ; user = Sony ; Software = JetBrains ReSharper 9
Date = 2017-04-01 ; user = Sony ; Software = Junk Mail filter update
Date = 2017-04-01 ; user = Sony ; Software = Kit SDK de vérification de Visual Studio 2012 - fra
Date = 2017-04-01 ; user = Sony ; Software = LocalESPC
Date = 2017-04-01 ; user = Sony ; Software = LocalESPC Dev12
Date = 2017-04-01 ; user = Sony ; Software = LocalESPCui for en-us Dev12
Date = 2017-04-01 ; user = Sony ; Software = MSVCRT
Date = 2017-04-01 ; user = Sony ; Software = MSVCRT_amd64
